	L=7	L=9	L=12	L=20	
in	id7	id9	id12	id20	id30
-0.6	2.11E-06	1.88E-06	1.73E-06	1.54E-06	1.18E-06
-5.90E-01	1.85E-06	1.61E-06	1.46E-06	1.27E-06	9.74E-07
-5.80E-01	1.60E-06	1.36E-06	1.22E-06	1.03E-06	7.92E-07
-5.70E-01	1.36E-06	1.13E-06	9.89E-07	8.13E-07	6.30E-07
-5.60E-01	1.14E-06	9.17E-07	7.87E-07	6.28E-07	4.90E-07
-5.50E-01	9.37E-07	7.30E-07	6.12E-07	4.73E-07	3.73E-07
-5.40E-01	7.56E-07	5.69E-07	4.66E-07	3.49E-07	2.78E-07
-5.30E-01	5.98E-07	4.35E-07	3.48E-07	2.53E-07	2.03E-07
-5.20E-01	4.65E-07	3.26E-07	2.56E-07	1.81E-07	1.46E-07
-5.10E-01	3.56E-07	2.41E-07	1.85E-07	1.28E-07	1.03E-07
-5.00E-01	2.68E-07	1.76E-07	1.33E-07	8.91E-08	7.25E-08
-4.90E-01	2.00E-07	1.27E-07	9.42E-08	6.19E-08	5.04E-08
-4.80E-01	1.47E-07	9.13E-08	6.65E-08	4.28E-08	3.48E-08
-4.70E-01	1.07E-07	6.50E-08	4.67E-08	2.95E-08	2.39E-08
-4.60E-01	7.80E-08	4.61E-08	3.27E-08	2.02E-08	1.64E-08
-4.50E-01	5.64E-08	3.26E-08	2.28E-08	1.39E-08	1.12E-08
-4.40E-01	4.06E-08	2.30E-08	1.59E-08	9.51E-09	7.64E-09
-4.30E-01	2.91E-08	1.62E-08	1.10E-08	6.51E-09	5.21E-09
-4.20E-01	2.09E-08	1.14E-08	7.68E-09	4.45E-09	3.54E-09
-4.10E-01	1.49E-08	8.01E-09	5.33E-09	3.05E-09	2.41E-09
-4.00E-01	1.07E-08	5.63E-09	3.70E-09	2.08E-09	1.64E-09
-3.90E-01	7.63E-09	3.95E-09	2.57E-09	1.42E-09	1.12E-09
-3.80E-01	5.45E-09	2.77E-09	1.78E-09	9.73E-10	7.59E-10
-3.70E-01	3.89E-09	1.94E-09	1.24E-09	6.65E-10	5.16E-10
-3.60E-01	2.77E-09	1.36E-09	8.58E-10	4.54E-10	3.51E-10
-3.50E-01	1.98E-09	9.56E-10	5.95E-10	3.10E-10	2.39E-10
-3.40E-01	1.41E-09	6.70E-10	4.13E-10	2.12E-10	1.62E-10
-3.30E-01	1.00E-09	4.70E-10	2.86E-10	1.45E-10	1.10E-10
-3.20E-01	7.16E-10	3.29E-10	1.99E-10	9.90E-11	7.49E-11
-3.10E-01	5.10E-10	2.31E-10	1.38E-10	6.77E-11	5.09E-11
-3.00E-01	3.63E-10	1.62E-10	9.55E-11	4.62E-11	3.46E-11
-2.90E-01	2.59E-10	1.13E-10	6.62E-11	3.16E-11	2.35E-11
-2.80E-01	1.84E-10	7.95E-11	4.59E-11	2.16E-11	1.60E-11
-2.70E-01	1.31E-10	5.57E-11	3.18E-11	1.47E-11	1.09E-11
-2.60E-01	9.35E-11	3.90E-11	2.21E-11	1.01E-11	7.39E-12
-2.50E-01	6.66E-11	2.73E-11	1.53E-11	6.88E-12	5.02E-12
-2.40E-01	4.74E-11	1.92E-11	1.06E-11	4.70E-12	3.41E-12
-2.30E-01	3.38E-11	1.34E-11	7.35E-12	3.21E-12	2.32E-12
-2.20E-01	2.40E-11	9.40E-12	5.10E-12	2.19E-12	1.58E-12
-2.10E-01	1.71E-11	6.59E-12	3.53E-12	1.50E-12	1.07E-12
-2.00E-01	1.22E-11	4.62E-12	2.45E-12	1.02E-12	7.29E-13
-1.90E-01	8.68E-12	3.23E-12	1.70E-12	7.00E-13	4.95E-13
-1.80E-01	6.18E-12	2.27E-12	1.18E-12	4.78E-13	3.37E-13
-1.70E-01	4.40E-12	1.59E-12	8.15E-13	3.27E-13	2.29E-13
-1.60E-01	3.13E-12	1.11E-12	5.65E-13	2.23E-13	1.56E-13
-1.50E-01	2.23E-12	7.78E-13	3.92E-13	1.52E-13	1.06E-13
-1.40E-01	1.59E-12	5.45E-13	2.72E-13	1.04E-13	7.18E-14
-1.30E-01	1.13E-12	3.82E-13	1.88E-13	7.11E-14	4.88E-14
-1.20E-01	8.03E-13	2.68E-13	1.30E-13	4.86E-14	3.32E-14
-1.10E-01	5.72E-13	1.87E-13	9.04E-14	3.32E-14	2.26E-14
-1.00E-01	4.07E-13	1.31E-13	6.27E-14	2.27E-14	1.53E-14
-9.00E-02	2.90E-13	9.19E-14	4.34E-14	1.55E-14	1.04E-14
-8.00E-02	2.06E-13	6.44E-14	3.01E-14	1.06E-14	7.08E-15
-7.00E-02	1.47E-13	4.51E-14	2.09E-14	7.23E-15	4.81E-15
-6.00E-02	1.04E-13	3.16E-14	1.45E-14	4.94E-15	3.27E-15
-5.00E-02	7.42E-14	2.21E-14	1.00E-14	3.37E-15	2.22E-15
-4.00E-02	5.28E-14	1.55E-14	6.94E-15	2.31E-15	1.51E-15
-3.00E-02	3.76E-14	1.08E-14	4.81E-15	1.58E-15	1.03E-15
-2.00E-02	2.67E-14	7.59E-15	3.33E-15	1.08E-15	6.99E-16
-1.00E-02	1.90E-14	5.32E-15	2.31E-15	7.35E-16	4.75E-16
0.00E+00	1.35E-14	3.72E-15	1.60E-15	5.02E-16	3.23E-16
