	l7	l9	l12	l20
0	1.44E-14	2.12E-15	6.48E-16	3.62E-16
-0.01	2.06E-14	3.08E-15	9.50E-16	5.32E-16
-0.02	2.96E-14	4.47E-15	1.39E-15	7.84E-16
-0.03	4.23E-14	6.50E-15	2.04E-15	1.15E-15
-0.04	6.06E-14	9.44E-15	2.99E-15	1.70E-15
-0.05	8.68E-14	1.37E-14	4.38E-15	2.50E-15
-0.06	1.24E-13	1.99E-14	6.42E-15	3.68E-15
-0.07	1.78E-13	2.90E-14	9.42E-15	5.41E-15
-0.08	2.54E-13	4.21E-14	1.38E-14	7.97E-15
-0.09	3.63E-13	6.11E-14	2.02E-14	1.17E-14
-0.1	5.20E-13	8.88E-14	2.96E-14	1.73E-14
-0.11	7.43E-13	1.29E-13	4.34E-14	2.54E-14
-0.12	1.06E-12	1.87E-13	6.36E-14	3.74E-14
-0.13	1.52E-12	2.72E-13	9.32E-14	5.51E-14
-0.14	2.17E-12	3.94E-13	1.37E-13	8.11E-14
-0.15	3.09E-12	5.72E-13	2.00E-13	1.19E-13
-0.16	4.42E-12	8.30E-13	2.93E-13	1.76E-13
-0.17	6.30E-12	1.20E-12	4.29E-13	2.59E-13
-0.18	8.99E-12	1.75E-12	6.29E-13	3.81E-13
-0.19	1.28E-11	2.53E-12	9.21E-13	5.60E-13
-0.2	1.83E-11	3.68E-12	1.35E-12	8.24E-13
-0.21	2.60E-11	5.33E-12	1.98E-12	1.21E-12
-0.22	3.71E-11	7.73E-12	2.89E-12	1.79E-12
-0.23	5.28E-11	1.12E-11	4.24E-12	2.63E-12
-0.24	7.51E-11	1.62E-11	6.20E-12	3.87E-12
-0.25	1.07E-10	2.35E-11	9.08E-12	5.69E-12
-0.26	1.52E-10	3.40E-11	1.33E-11	8.38E-12
-0.27	2.16E-10	4.93E-11	1.95E-11	1.23E-11
-0.28	3.06E-10	7.13E-11	2.85E-11	1.82E-11
-0.29	4.34E-10	1.03E-10	4.17E-11	2.67E-11
-0.3	6.14E-10	1.49E-10	6.10E-11	3.93E-11
-0.31	8.70E-10	2.16E-10	8.93E-11	5.79E-11
-0.32	1.23E-09	3.12E-10	1.31E-10	8.52E-11
-0.33	1.74E-09	4.51E-10	1.91E-10	1.25E-10
-0.34	2.45E-09	6.50E-10	2.80E-10	1.84E-10
-0.35	3.45E-09	9.38E-10	4.09E-10	2.71E-10
-0.36	4.84E-09	1.35E-09	5.98E-10	3.99E-10
-0.37	6.78E-09	1.95E-09	8.74E-10	5.87E-10
-0.38	9.48E-09	2.80E-09	1.28E-09	8.64E-10
-0.39	1.32E-08	4.02E-09	1.86E-09	1.27E-09
-0.4	1.83E-08	5.76E-09	2.72E-09	1.87E-09
-0.41	2.53E-08	8.24E-09	3.96E-09	2.74E-09
-0.42	3.48E-08	1.18E-08	5.77E-09	4.03E-09
-0.43	4.75E-08	1.67E-08	8.38E-09	5.91E-09
-0.44	6.44E-08	2.36E-08	1.22E-08	8.65E-09
-0.45	8.66E-08	3.32E-08	1.76E-08	1.26E-08
-0.46	1.15E-07	4.65E-08	2.53E-08	1.84E-08
-0.47	1.52E-07	6.44E-08	3.62E-08	2.67E-08
-0.48	1.98E-07	8.85E-08	5.13E-08	3.86E-08
-0.49	2.55E-07	1.20E-07	7.23E-08	5.53E-08
-0.5	3.24E-07	1.61E-07	1.01E-07	7.85E-08
-0.51	4.07E-07	2.14E-07	1.38E-07	1.10E-07
-0.52	5.04E-07	2.79E-07	1.87E-07	1.52E-07
-0.53	6.16E-07	3.58E-07	2.49E-07	2.07E-07
-0.54	7.44E-07	4.53E-07	3.26E-07	2.76E-07
-0.55	8.87E-07	5.64E-07	4.19E-07	3.61E-07
-0.56	1.04E-06	6.92E-07	5.29E-07	4.63E-07
-0.57	1.22E-06	8.36E-07	6.56E-07	5.83E-07
-0.58	1.41E-06	9.98E-07	8.02E-07	7.21E-07
-0.59	1.61E-06	1.17E-06	9.64E-07	8.77E-07
-0.6	1.82E-06	1.37E-06	1.14E-06	1.05E-06
