a,net5,(V)
0,0.6,
0.005,0.6,
0.01,0.6,
0.015,0.6,
0.02,0.6,
0.025,0.6,
0.03,0.6,
0.035,0.6,
0.04,0.6,
0.045,0.6,
0.05,0.6,
0.055,0.599999508,
0.06,0.599999375,
0.065,0.599999202,
0.07,0.599998976,
0.075,0.599998679,
0.08,0.599998286,
0.085,0.599997764,
0.09,0.599997066,
0.095,0.599996128,
0.1,0.599994862,
0.105,0.599993144,
0.11,0.599990803,
0.115,0.599987601,
0.12,0.599983205,
0.125,0.59997715,
0.13,0.599968783,
0.135,0.599957192,
0.14,0.599941093,
0.145,0.599918683,
0.15,0.599887424,
0.155,0.599843739,
0.16,0.599782574,
0.165,0.599696774,
0.17,0.599576176,
0.175,0.599406288,
0.18,0.599166312,
0.185,0.598826162,
0.19,0.598341801,
0.195,0.597647693,
0.2,0.596643946,
0.205,0.595172968,
0.21,0.592973196,
0.215,0.589576173,
0.22,0.584037005,
0.225,0.573897127,
0.23,0.549946777,
0.235,0.426410508,
0.24,0.135069927,
0.245,0.039196759,
0.25,0.021820644,
0.255,0.013792346,
0.26,0.009201548,
0.265,0.006324356,
0.27,0.004426898,
0.275,0.003143246,
0.28,0.002254214,
0.285,0.001630101,
0.29,0.001187488,
0.295,0.000871055,
0.3,0.000643291,
0.305,0.000478353,
0.31,0.000358224,
0.315,0.000270234,
0.32,0.000205411,
0.325,0.000157369,
0.33,0.000121536,
0.335,9.46E-05,
0.34,7.43E-05,
0.345,5.88E-05,
0.35,4.69E-05,
0.355,3.77E-05,
0.36,3.05E-05,
0.365,2.49E-05,
0.37,2.04E-05,
0.375,1.68E-05,
0.38,1.40E-05,
0.385,1.16E-05,
0.39,9.74E-06,
0.395,8.18E-06,
0.4,6.89E-06,
0.405,5.83E-06,
0.41,4.94E-06,
0.415,4.19E-06,
0.42,3.57E-06,
0.425,3.04E-06,
0.43,2.60E-06,
0.435,2.22E-06,
0.44,1.90E-06,
0.445,1.63E-06,
0.45,1.39E-06,
0.455,1.19E-06,
0.46,1.02E-06,
0.465,8.79E-07,
0.47,7.55E-07,
0.475,6.49E-07,
0.48,5.57E-07,
0.485,4.79E-07,
0.49,4.12E-07,
0.495,3.54E-07,
0.5,3.04E-07,
0.505,2.62E-07,
0.51,2.25E-07,
0.515,1.93E-07,
0.52,1.66E-07,
0.525,1.43E-07,
0.53,1.23E-07,
0.535,1.06E-07,
0.54,9.11E-08,
0.545,7.83E-08,
0.55,6.74E-08,
0.555,5.80E-08,
0.56,4.99E-08,
0.565,4.29E-08,
0.57,3.69E-08,
0.575,3.18E-08,
0.58,2.73E-08,
0.585,2.35E-08,
0.59,2.02E-08,
0.595,1.74E-08,
0.6,1.50E-08,
