vin	model	bsim
0	6.00E-01	6.00E-01
5.00E-03	6.00E-01	6.00E-01
1.00E-02	6.00E-01	6.00E-01
1.50E-02	6.00E-01	6.00E-01
2.00E-02	6.00E-01	6.00E-01
2.50E-02	6.00E-01	6.00E-01
3.00E-02	6.00E-01	6.00E-01
3.50E-02	6.00E-01	6.00E-01
4.00E-02	6.00E-01	6.00E-01
4.50E-02	6.00E-01	6.00E-01
5.00E-02	6.00E-01	6.00E-01
5.50E-02	6.00E-01	6.00E-01
6.00E-02	6.00E-01	6.00E-01
6.50E-02	6.00E-01	6.00E-01
7.00E-02	6.00E-01	6.00E-01
7.50E-02	6.00E-01	6.00E-01
8.00E-02	6.00E-01	6.00E-01
8.50E-02	6.00E-01	6.00E-01
9.00E-02	6.00E-01	6.00E-01
9.50E-02	6.00E-01	6.00E-01
1.00E-01	6.00E-01	6.00E-01
1.05E-01	6.00E-01	6.00E-01
1.10E-01	6.00E-01	6.00E-01
1.15E-01	6.00E-01	6.00E-01
1.20E-01	6.00E-01	6.00E-01
1.25E-01	6.00E-01	6.00E-01
1.30E-01	6.00E-01	6.00E-01
1.35E-01	6.00E-01	6.00E-01
1.40E-01	6.00E-01	6.00E-01
1.45E-01	6.00E-01	6.00E-01
1.50E-01	6.00E-01	6.00E-01
1.55E-01	6.00E-01	6.00E-01
1.60E-01	6.00E-01	6.00E-01
1.65E-01	6.00E-01	6.00E-01
1.70E-01	5.99E-01	6.00E-01
1.75E-01	5.99E-01	6.00E-01
1.80E-01	5.99E-01	6.00E-01
1.85E-01	5.98E-01	6.00E-01
1.90E-01	5.97E-01	6.00E-01
1.95E-01	5.96E-01	6.00E-01
2.00E-01	5.94E-01	6.00E-01
2.05E-01	5.92E-01	6.00E-01
2.10E-01	5.88E-01	6.00E-01
2.15E-01	5.82E-01	6.00E-01
2.20E-01	5.71E-01	6.00E-01
2.25E-01	5.43E-01	6.00E-01
2.30E-01	4.11E-01	6.00E-01
2.35E-01	1.65E-01	6.00E-01
2.40E-01	4.68E-02	6.00E-01
2.45E-01	2.55E-02	6.00E-01
2.50E-01	1.61E-02	5.99E-01
2.55E-01	1.09E-02	5.99E-01
2.60E-01	7.56E-03	5.99E-01
2.65E-01	5.37E-03	5.98E-01
2.70E-01	3.88E-03	5.98E-01
2.75E-01	2.84E-03	5.96E-01
2.80E-01	2.09E-03	5.95E-01
2.85E-01	1.56E-03	5.92E-01
2.90E-01	1.17E-03	5.88E-01
2.95E-01	8.85E-04	5.82E-01
3.00E-01	6.75E-04	5.68E-01
3.05E-01	5.19E-04	5.30E-01
3.10E-01	4.02E-04	4.68E-01
3.15E-01	3.14E-04	4.02E-01
3.20E-01	2.48E-04	3.34E-01
3.25E-01	1.96E-04	2.65E-01
3.30E-01	1.57E-04	1.97E-01
3.35E-01	1.26E-04	1.31E-01
3.40E-01	1.02E-04	6.91E-02
3.45E-01	8.36E-05	3.14E-02
3.50E-01	6.86E-05	1.81E-02
3.55E-01	5.66E-05	1.15E-02
3.60E-01	4.70E-05	7.65E-03
3.65E-01	3.91E-05	5.17E-03
3.70E-01	3.27E-05	3.55E-03
3.75E-01	2.75E-05	2.46E-03
3.80E-01	2.32E-05	1.72E-03
3.85E-01	1.96E-05	1.20E-03
3.90E-01	1.66E-05	8.47E-04
3.95E-01	1.41E-05	5.98E-04
4.00E-01	1.20E-05	4.23E-04
4.05E-01	1.02E-05	3.01E-04
4.10E-01	8.70E-06	2.14E-04
4.15E-01	7.43E-06	1.53E-04
4.20E-01	6.35E-06	1.10E-04
4.25E-01	5.44E-06	7.91E-05
4.30E-01	4.66E-06	5.72E-05
4.35E-01	3.99E-06	4.15E-05
4.40E-01	3.42E-06	3.02E-05
4.45E-01	2.94E-06	2.21E-05
4.50E-01	2.52E-06	1.63E-05
4.55E-01	2.17E-06	1.20E-05
4.60E-01	1.86E-06	8.90E-06
4.65E-01	1.60E-06	6.63E-06
4.70E-01	1.37E-06	4.96E-06
4.75E-01	1.18E-06	3.73E-06
4.80E-01	1.02E-06	2.82E-06
4.85E-01	8.73E-07	2.14E-06
4.90E-01	7.50E-07	1.63E-06
4.95E-01	6.45E-07	1.24E-06
5.00E-01	5.55E-07	9.55E-07
5.05E-01	4.77E-07	7.36E-07
5.10E-01	4.11E-07	5.70E-07
5.15E-01	3.53E-07	4.43E-07
5.20E-01	3.04E-07	3.45E-07
5.25E-01	2.61E-07	2.70E-07
5.30E-01	2.25E-07	2.12E-07
5.35E-01	1.94E-07	1.67E-07
5.40E-01	1.66E-07	1.32E-07
5.45E-01	1.43E-07	1.05E-07
5.50E-01	1.23E-07	8.39E-08
5.55E-01	1.06E-07	6.73E-08
5.60E-01	9.12E-08	5.41E-08
5.65E-01	7.84E-08	4.38E-08
5.70E-01	6.75E-08	3.56E-08
5.75E-01	5.81E-08	2.91E-08
5.80E-01	5.00E-08	2.39E-08
5.85E-01	4.30E-08	1.98E-08
5.90E-01	3.70E-08	1.65E-08
5.95E-01	3.18E-08	1.38E-08
6.00E-01	2.74E-08	1.17E-08
