a,net3
0,0.599993355
0.01,0.599990217
0.02,0.599985597
0.03,0.599978795
0.04,0.599968781
0.05,0.599954039
0.06,0.599932336
0.07,0.599900389
0.08,0.599853363
0.09,0.599784143
0.1,0.599682266
0.11,0.599532337
0.12,0.599311724
0.13,0.598987156
0.14,0.598509761
0.15,0.597807789
0.16,0.596776002
0.17,0.595260239
0.18,0.593035031
0.19,0.589771345
0.2,0.584990409
0.21,0.57799832
0.22,0.567794685
0.23,0.552947547
0.24,0.531426948
0.25,0.500392575
0.26,0.45593991
0.27,0.392828174
0.28,0.304247961
0.29,0.182049178
0.3,0.065829413
0.31,0.034031562
0.32,0.022289476
0.33,0.016210593
0.34,0.012611974
0.35,0.010355621
0.36,0.008870352
0.37,0.007868554
0.38,0.007181117
0.39,0.006703549
0.4,0.006368811
0.41,0.006132669
0.42,0.005965309
0.43,0.00584631
0.44,0.00576151
0.45,0.005700994
0.46,0.005657771
0.47,0.005626887
0.48,0.005604817
0.49,0.005589048
0.5,0.005577786
0.51,0.005569745
0.52,0.005564007
0.53,0.005559915
0.54,0.005556998
0.55,0.005554992
0.56,0.005553555
0.57,0.005552515
0.58,0.005551763
0.59,0.005551219
0.6,0.005550827
